"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 02","1,825.98","1,804.64","1,833.76","1,800.13","","0.30%"
"2023- 12- 28","1,820.45","1,783.81","1,820.45","1,782.81","","1.91%"
"2023- 12- 27","1,786.32","1,769.51","1,787.58","1,766.00","","1.11%"
"2023- 12- 26","1,766.75","1,769.01","1,770.51","1,756.96","","0.37%"
"2023- 12- 22","1,760.22","1,768.00","1,773.53","1,757.97","","0.52%"
"2023- 12- 21","1,751.19","1,749.68","1,758.97","1,744.67","","-0.78%"
"2023- 12- 20","1,764.99","1,743.66","1,765.24","1,743.16","","2.00%"
"2023- 12- 19","1,730.36","1,722.83","1,731.62","1,718.57","","0.09%"
"2023- 12- 18","1,728.85","1,721.83","1,730.86","1,718.57","","0.35%"
"2023- 12- 15","1,722.83","1,718.57","1,737.89","1,718.31","","0.60%"
"2023- 12- 14","1,712.54","1,711.15","1,721.29","1,703.96","","1.49%"
"2023- 12- 13","1,687.43","1,706.55","1,706.79","1,686.58","","-1.05%"
"2023- 12- 12","1,705.38","1,702.32","1,707.70","1,699.50","","0.65%"
"2023- 12- 11","1,694.31","1,692.03","1,695.45","1,682.10","","0.30%"
"2023- 12- 08","1,689.29","1,678.77","1,691.29","1,678.02","","1.46%"
"2023- 12- 07","1,664.99","1,664.74","1,673.51","1,660.48","","-0.33%"
"2023- 12- 06","1,670.50","1,673.76","1,682.77","1,670.50","","0.26%"
"2023- 12- 05","1,666.24","1,672.76","1,679.77","1,666.24","","-1.20%"
"2023- 12- 04","1,686.53","1,689.54","1,694.04","1,683.02","","0.36%"
"2023- 12- 01","1,680.52","1,691.29","1,692.29","1,676.01","","-1.08%"
"2023- 11- 30","1,698.80","1,685.78","1,699.05","1,679.77","","0.47%"
"2023- 11- 29","1,690.79","1,693.29","1,693.29","1,677.01","","-0.25%"
"2023- 11- 28","1,695.05","1,680.77","1,695.05","1,679.77","","1.26%"
"2023- 11- 27","1,674.01","1,677.51","1,686.28","1,669.50","","-0.15%"
"2023- 11- 24","1,676.51","1,690.54","1,695.05","1,676.51","","-0.96%"
"2023- 11- 23","1,692.79","1,689.79","1,696.55","1,684.28","","-0.01%"
"2023- 11- 22","1,693.04","1,675.01","1,694.54","1,672.51","","0.16%"
"2023- 11- 21","1,690.29","1,694.29","1,695.80","1,685.28","","0.57%"
"2023- 11- 20","1,680.77","1,665.99","1,685.53","1,660.48","","0.74%"
"2023- 11- 17","1,668.50","1,675.01","1,678.52","1,662.24","","-0.43%"
"2023- 11- 16","1,675.76","1,676.26","1,681.77","1,668.50","","-0.21%"
"2023- 11- 15","1,679.27","1,676.01","1,682.77","1,663.99","","2.27%"
"2023- 11- 14","1,641.95","1,636.44","1,647.21","1,634.19","","0.83%"
"2023- 11- 13","1,628.43","1,646.21","1,646.21","1,619.16","","0.12%"
"2023- 11- 10","1,626.42","1,621.16","1,627.67","1,613.65","","-0.61%"
"2023- 11- 09","1,636.44","1,632.68","1,642.45","1,625.42","","0.49%"
"2023- 11- 08","1,628.43","1,658.23","1,660.73","1,624.17","","-1.00%"
"2023- 11- 07","1,644.96","1,673.51","1,674.26","1,627.67","","-2.06%"
"2023- 11- 06","1,679.52","1,620.91","1,679.52","1,620.16","","4.91%"
"2023- 11- 03","1,600.88","1,600.63","1,602.63","1,591.61","","1.09%"
"2023- 11- 02","1,583.60","1,582.34","1,591.11","1,579.34","","1.64%"
"2023- 11- 01","1,558.05","1,542.52","1,561.05","1,541.02","","1.29%"
"2023- 10- 31","1,538.26","1,561.81","1,566.56","1,534.01","","-1.00%"
"2023- 10- 30","1,553.79","1,539.27","1,558.80","1,536.76","","0.32%"
"2023- 10- 27","1,548.78","1,556.80","1,560.30","1,545.28","","0.02%"
"2023- 10- 26","1,548.53","1,568.07","1,570.32","1,548.53","","-2.74%"
"2023- 10- 25","1,592.11","1,602.63","1,606.64","1,590.61","","-0.53%"
"2023- 10- 24","1,600.63","1,594.62","1,601.13","1,567.57","","0.80%"
"2023- 10- 23","1,587.85","1,590.61","1,599.12","1,585.10","","-0.58%"
"2023- 10- 20","1,597.12","1,606.14","1,610.89","1,590.61","","-1.50%"
"2023- 10- 19","1,621.41","1,634.94","1,635.69","1,621.41","","-1.97%"
"2023- 10- 18","1,653.97","1,642.45","1,655.73","1,641.45","","0.43%"
"2023- 10- 17","1,646.96","1,640.95","1,651.22","1,635.19","","1.22%"
"2023- 10- 16","1,627.17","1,632.18","1,639.45","1,617.16","","-0.92%"
"2023- 10- 13","1,642.20","1,639.20","1,645.96","1,635.94","","-0.79%"
"2023- 10- 12","1,655.22","1,647.46","1,655.98","1,643.70","","1.05%"
"2023- 10- 11","1,637.94","1,626.92","1,648.21","1,626.42","","1.73%"
"2023- 10- 10","1,610.14","1,623.42","1,635.44","1,608.14","","0.30%"
"2023- 10- 06","1,605.38","1,606.39","1,613.15","1,601.63","","0.23%"
"2023- 10- 05","1,601.63","1,617.16","1,618.66","1,601.38","","-0.11%"
"2023- 10- 04","1,603.38","1,625.42","1,625.42","1,601.63","","-2.71%"
"2023- 09- 27","1,647.96","1,634.44","1,648.46","1,632.43","","0.20%"
"2023- 09- 26","1,644.71","1,667.50","1,669.00","1,644.20","","-1.43%"
"2023- 09- 25","1,668.50","1,665.49","1,671.25","1,659.23","","0.07%"
"2023- 09- 22","1,667.25","1,659.23","1,671.75","1,653.47","","-0.40%"
"2023- 09- 21","1,674.01","1,693.79","1,696.80","1,673.01","","-1.88%"
"2023- 09- 20","1,706.07","1,705.31","1,709.82","1,699.30","","-0.04%"
"2023- 09- 19","1,706.82","1,718.84","1,721.34","1,701.81","","-0.64%"
"2023- 09- 18","1,717.84","1,728.61","1,732.86","1,717.09","","-1.14%"
"2023- 09- 15","1,737.62","1,720.34","1,744.89","1,716.33","","1.24%"
"2023- 09- 14","1,716.33","1,694.90","1,716.64","1,694.65","","1.45%"
"2023- 09- 13","1,691.76","1,687.76","1,699.21","1,685.70","","0.07%"
"2023- 09- 12","1,690.58","1,706.81","1,707.43","1,688.96","","-0.67%"
"2023- 09- 11","1,702.00","1,695.38","1,702.00","1,688.68","","0.38%"
"2023- 09- 08","1,695.48","1,693.46","1,695.48","1,681.88","","0.13%"
"2023- 09- 07","1,693.21","1,692.20","1,700.51","1,687.67","","-0.44%"
"2023- 09- 06","1,700.76","1,708.31","1,714.36","1,699.00","","-0.79%"
"2023- 09- 05","1,714.36","1,714.36","1,718.13","1,708.82","","-0.07%"
