"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 07- 12","12.83","13.10","13.15","12.60","98.11K","-2.19%"
"2024- 07- 11","13.12","13.00","13.40","12.70","129.63K","1.43%"
"2024- 07- 10","12.93","13.00","13.05","12.79","62.25K","-0.48%"
"2024- 07- 09","13.00","13.10","13.15","12.95","68.70K","-0.66%"
"2024- 07- 08","13.08","13.35","13.35","12.95","71.17K","-1.66%"
"2024- 07- 05","13.30","13.20","13.45","13.12","75.28K","0.25%"
"2024- 07- 03","13.27","13.25","13.30","13.10","46.75K","0.48%"
"2024- 07- 02","13.21","13.40","13.63","13.20","76.73K","-1.58%"
"2024- 07- 01","13.42","14.00","14.01","13.35","91.15K","-4.32%"
"2024- 06- 28","14.02","13.80","14.10","13.70","85.24K","1.92%"
"2024- 06- 27","13.76","13.95","14.05","13.73","78.20K","-1.08%"
"2024- 06- 26","13.91","14.10","14.21","13.90","72.97K","-1.20%"
"2024- 06- 25","14.08","14.43","14.50","14.00","51.92K","-2.22%"
"2024- 06- 24","14.40","14.50","14.85","14.20","80.93K","-0.34%"
"2024- 06- 21","14.45","14.78","15.07","14.35","112.36K","-2.18%"
"2024- 06- 20","14.77","14.30","14.90","14.15","124.52K","19.19%"
"2024- 06- 18","12.39","12.80","12.90","12.50","2.66K","-3.21%"
"2024- 06- 17","12.80","13.02","13.25","12.55","97.61K","-1.18%"
"2024- 06- 14","12.95","12.44","13.60","12.40","109.52K","4.39%"
"2024- 06- 13","12.41","12.55","13.05","12.35","100.26K","-1.16%"
"2024- 06- 12","12.56","13.05","13.10","12.45","95.22K","-3.19%"
"2024- 06- 11","12.97","13.00","13.50","12.90","86.07K","-0.46%"
"2024- 06- 10","13.03","13.00","13.60","12.95","74.13K","0.15%"
"2024- 06- 07","13.01","13.27","13.60","12.90","102.17K","-1.86%"
"2024- 06- 06","13.26","13.40","13.45","13.20","94.06K","-0.72%"
"2024- 06- 05","13.35","13.67","13.90","13.30","75.33K","-2.65%"
"2024- 06- 04","13.72","13.70","14.25","13.64","85.93K","0.46%"
"2024- 06- 03","13.65","13.75","14.25","13.50","115.52K","-0.99%"
"2024- 05- 31","13.79","14.40","14.70","13.65","121.16K","-3.52%"
"2024- 05- 30","14.29","14.45","14.70","13.95","100.13K","-0.32%"
