"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 16","6,080.50","6,055.50","6,090.50","6,051.50","1.87M","0.41%"
"2024- 12- 13","6,055.50","6,065.00","6,085.25","6,041.25","1.14M","-0.09%"
"2024- 12- 12","6,060.75","6,087.50","6,088.25","6,055.50","259.36K","-0.53%"
"2024- 12- 11","6,092.75","6,052.75","6,102.50","6,045.50","69.88K","0.77%"
"2024- 12- 10","6,046.25","6,065.25","6,075.25","6,039.75","45.36K","-0.32%"
"2024- 12- 09","6,065.75","6,096.25","6,105.75","6,060.00","40.15K","-0.55%"
"2024- 12- 06","6,099.00","6,085.50","6,111.00","6,076.00","16.82K","0.17%"
"2024- 12- 05","6,088.75","6,095.25","6,107.25","6,081.50","23.48K","-0.16%"
"2024- 12- 04","6,098.50","6,067.00","6,102.25","6,063.00","19.90K","0.58%"
"2024- 12- 03","6,063.25","6,064.00","6,070.75","6,047.50","8.43K","0.02%"
"2024- 12- 02","6,061.75","6,051.50","6,068.50","6,036.00","9.99K","0.17%"
"2024- 11- 29","6,051.50","6,015.00","6,060.00","6,014.75","11.22K","0.61%"
"2024- 11- 27","6,015.00","6,041.75","6,047.00","6,000.25","11.23K","-0.39%"
"2024- 11- 26","6,038.25","6,013.25","6,044.00","5,976.25","14.13K","0.53%"
"2024- 11- 25","6,006.50","6,006.00","6,040.00","5,982.50","14.30K","0.33%"
"2024- 11- 22","5,987.00","5,967.00","5,993.50","5,940.75","10.00K","0.28%"
"2024- 11- 21","5,970.50","5,937.25","5,985.00","5,905.25","16.56K","0.55%"
"2024- 11- 20","5,937.75","5,937.75","5,957.75","5,880.00","9.22K","-0.02%"
"2024- 11- 19","5,938.75","5,919.00","5,947.50","5,855.00","26.57K","0.32%"
"2024- 11- 18","5,920.00","5,899.75","5,933.00","5,886.50","19.02K","0.40%"
"2024- 11- 15","5,896.50","5,972.00","5,974.25","5,876.75","12.31K","-1.37%"
"2024- 11- 14","5,978.25","6,017.75","6,025.25","5,964.25","4.91K","-0.63%"
"2024- 11- 13","6,016.00","6,012.25","6,035.25","5,991.75","4.92K","0.05%"
"2024- 11- 12","6,013.00","6,029.25","6,036.50","5,986.75","3.86K","-0.31%"
"2024- 11- 11","6,031.75","6,030.00","6,053.25","6,013.50","2.90K","0.11%"
"2024- 11- 08","6,025.25","6,007.75","6,040.50","5,990.25","2.62K","0.36%"
"2024- 11- 07","6,003.75","5,963.50","6,013.00","5,951.00","7.06K","0.76%"
"2024- 11- 06","5,958.25","5,820.25","5,967.00","5,814.75","9.24K","2.51%"
"2024- 11- 05","5,812.25","5,752.25","5,823.25","5,735.00","3.00K","1.20%"
"2024- 11- 04","5,743.25","5,741.75","5,776.50","5,724.25","3.44K","-0.26%"
"2024- 11- 01","5,758.25","5,742.00","5,803.75","5,732.50","1.87K","0.34%"
"2024- 10- 31","5,738.50","5,840.00","5,844.00","5,733.25","2.19K","-1.94%"
"2024- 10- 30","5,852.00","5,883.00","5,893.00","5,840.25","3.20K","-0.32%"
"2024- 10- 29","5,871.00","5,867.00","5,883.75","5,837.50","1.30K","0.16%"
"2024- 10- 28","5,861.50","5,857.00","5,884.50","5,857.00","1.67K","0.27%"
