"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 12","18,906.00","18,253.00","18,491.00","18,174.00","763.54K","1.41%"
"2024- 03- 11","18,643.00","18,301.50","18,309.75","18,138.00","723.53K","3.25%"
"2024- 03- 09","18,056.00","18,056.00","18,056.00","18,056.00","","-3.58%"
"2024- 03- 08","18,726.00","18,526.00","18,691.25","18,260.75","163.90K","-1.42%"
"2024- 03- 07","18,996.00","18,857.00","18,890.00","18,857.00","0.00K","1.50%"
"2024- 03- 06","18,715.00","18,220.00","18,418.00","18,185.00","11.28K","0.62%"
"2024- 03- 05","18,600.00","18,491.00","18,500.50","18,075.00","9.98K","-1.78%"
"2024- 03- 04","18,937.00","18,336.00","18,377.75","18,234.25","569.34K","-0.38%"
"2024- 03- 01","19,010.00","18,075.00","18,372.75","18,029.50","639.15K","1.39%"
"2024- 02- 29","18,750.00","17,870.00","18,109.50","17,826.00","680.15K","0.92%"
"2024- 02- 28","18,579.00","18,017.50","18,019.75","17,846.25","553.73K","-0.57%"
"2024- 02- 27","18,685.00","17,951.00","18,040.25","17,908.75","567.82K","0.24%"
"2024- 02- 26","18,640.00","17,961.50","18,059.50","17,922.00","526.17K","3.78%"
"2024- 02- 24","17,960.75","17,960.75","17,960.75","17,960.75","","-3.71%"
"2024- 02- 23","18,653.00","18,023.25","18,144.75","17,946.00","659.73K","-0.30%"
"2024- 02- 22","18,709.00","18,705.50","18,705.50","18,705.50","0.00K","2.96%"
"2024- 02- 21","18,172.00","17,573.00","17,723.00","17,372.75","731.45K","-0.38%"
"2024- 02- 20","18,242.00","17,729.25","17,807.50","17,452.50","889.29K","2.78%"
"2024- 02- 19","17,748.25","17,778.50","17,806.50","17,739.50","103.12K","-0.16%"
"2024- 02- 18","17,777.00","17,721.50","17,792.50","17,721.50","6.49K","0.31%"
"2024- 02- 17","17,721.50","17,721.50","17,721.50","17,721.50","","-3.59%"
"2024- 02- 16","18,382.00","17,952.00","18,026.00","17,715.00","744.63K","-0.89%"
"2024- 02- 15","18,548.00","17,870.00","17,968.25","17,780.50","657.77K","0.19%"
"2024- 02- 14","18,512.00","17,703.00","17,887.00","17,669.25","688.09K","1.13%"
"2024- 02- 13","18,305.00","17,928.50","17,963.25","17,542.00","858.23K","-1.55%"
"2024- 02- 12","18,594.00","18,040.00","18,121.50","17,911.25","538.13K","-0.40%"
"2024- 02- 09","18,668.00","18,705.25","18,705.50","18,705.25","0.00K","0.94%"
"2024- 02- 08","18,493.25","17,856.25","17,896.50","17,792.25","471.37K","0.34%"
"2024- 02- 07","18,431.00","17,645.75","17,875.50","17,629.75","613.34K","1.00%"
"2024- 02- 06","18,249.00","17,698.50","17,769.00","17,560.75","623.17K","-0.22%"
"2024- 02- 05","18,290.00","17,696.00","17,745.50","17,554.25","621.65K","3.41%"
"2024- 02- 03","17,687.00","17,687.00","17,687.00","17,687.00","","-3.47%"
"2024- 02- 02","18,322.50","17,588.00","17,775.50","17,465.50","761.17K","1.67%"
"2024- 02- 01","18,021.25","17,273.25","17,646.75","17,262.75","705.24K","1.08%"
"2024- 01- 31","17,829.50","18,000.00","18,000.00","18,000.00","0.00K","-1.92%"
"2024- 01- 30","18,178.00","17,711.75","17,735.75","17,467.00","554.15K","-0.63%"
"2024- 01- 29","18,294.00","17,502.00","17,716.25","17,457.50","568.74K","4.51%"
"2024- 01- 27","17,504.75","17,504.75","17,504.75","17,504.75","","-3.34%"
"2024- 01- 26","18,109.00","18,107.25","18,107.25","18,107.25","0.00K","-0.55%"
"2024- 01- 25","18,209.25","17,614.75","17,752.00","17,542.00","710.82K","0.07%"
"2024- 01- 24","18,195.75","18,304.50","18,304.50","18,304.50","0.00K","0.50%"
"2024- 01- 23","18,105.75","17,461.00","17,558.25","17,409.50","508.08K","0.42%"
"2024- 01- 22","18,030.75","17,466.00","17,585.00","17,434.00","637.25K","3.25%"
"2024- 01- 20","17,462.75","17,462.75","17,462.75","17,462.75","","-3.03%"
"2024- 01- 19","18,008.75","17,116.00","17,471.25","17,107.25","758.13K","2.02%"
"2024- 01- 18","17,653.00","17,671.00","17,671.00","17,671.00","0.00K","1.39%"
"2024- 01- 17","17,410.50","16,978.00","16,982.00","16,689.25","722.78K","-0.55%"
"2024- 01- 16","17,507.00","16,961.75","17,033.75","16,811.75","816.02K","3.37%"
"2024- 01- 15","16,936.25","16,946.75","17,022.75","16,933.50","108.24K","-0.05%"
"2024- 01- 14","16,945.25","16,955.25","16,964.00","16,939.00","3.74K","-0.06%"
"2024- 01- 13","16,955.25","16,955.25","16,955.25","16,955.25","","-3.16%"
"2024- 01- 12","17,509.00","16,957.75","17,042.50","16,866.50","593.45K","0.01%"
"2024- 01- 11","17,507.00","16,955.00","17,057.00","16,753.00","756.44K","0.12%"
"2024- 01- 10","17,486.00","17,407.75","17,407.75","17,407.75","0.01K","0.67%"
"2024- 01- 09","17,369.50","16,788.00","16,868.50","16,657.75","605.92K","0.15%"
"2024- 01- 08","17,343.00","17,271.00","17,271.00","17,271.00","0.00K","5.33%"
"2024- 01- 06","16,465.00","16,465.00","16,465.00","16,465.00","","-3.14%"
"2024- 01- 05","16,998.00","16,455.00","16,577.25","16,334.25","627.48K","0.02%"
"2024- 01- 04","16,994.50","16,545.25","16,587.25","16,436.00","559.46K","-0.54%"
"2024- 01- 03","17,087.50","16,736.75","16,737.25","16,522.00","677.22K","-1.06%"
"2024- 01- 02","17,271.00","17,019.00","17,038.50","16,622.50","652.71K","1.42%"
"2024- 01- 01","17,029.50","17,018.25","17,037.00","17,014.75","4.58K","0.15%"
"2023- 12- 31","17,003.75","17,003.75","17,003.75","17,003.75","","0.00%"
"2023- 12- 30","17,003.75","17,003.75","17,003.75","17,003.75","","-3.25%"
"2023- 12- 29","17,575.50","17,090.25","17,131.00","16,938.25","470.86K","-0.42%"
"2023- 12- 28","17,650.00","17,127.00","17,165.25","17,077.75","357.70K","-0.14%"
"2023- 12- 27","17,675.00","17,090.25","17,133.00","17,055.50","424.30K","0.17%"
"2023- 12- 26","17,645.50","16,964.50","17,111.25","16,964.50","292.09K","3.77%"
"2023- 12- 25","17,004.00","16,991.75","17,011.00","16,985.00","5.88K","0.24%"
"2023- 12- 24","16,962.50","16,962.50","16,962.50","16,962.50","","0.00%"
"2023- 12- 23","16,962.50","16,962.50","16,962.50","16,962.50","","-3.30%"
"2023- 12- 22","17,542.00","16,956.00","17,041.50","16,891.50","486.85K","0.13%"
"2023- 12- 21","17,520.00","16,790.25","16,970.25","16,790.25","639.82K","1.10%"
"2023- 12- 20","17,329.00","17,350.00","17,350.00","17,350.00","0.00K","-1.48%"
